artikelnummer,omschrijving,hs_code
1,Promotie artikelen,9618000000
7,Promotie materiaal SS24,4911910000
13,Promotion Watertrens Anatomisch,4201000090
14,Promotion Watertrens Anatomisch dubbelgebroken,4201000090
15,Promotion Bustrens Anatomisch,4201000090
16,Promotion Bustrens Anatomisch dubbelgebroken,4201000090
17,Promotion Borstel Royal actie juli,9603909100
19,Kniekous gift box Thank you (set van 2),6115961000
1013,Veulenhalster leer Chico,4201000090
1019,Longeerlijn in tas,4201000090
1033,Halstertouw luxe,4201000090
1040,Halster schuif,4201000090
1041,Halster schuif Rood/wit/blauw,4201000090
1045,Halstertouw met ketting soft,4201000090
1046,Halstertouw luxe 3m,4201000090
1047,Veulenhalster,4201000090
1051,Halsterbontjes met kerstbellen,6307909899
1059,Trailer oplaadhulp,4201000090
1060,Halster gevoerd,4201000090
1067,Longeerlijn dubbel,4201000090
1074,Halster leer Lupine,4201000090
1081,Halster-vliegenmasker combi,4201000090
1084,Longeerstukje,4201000090
1086,Halstertouw met paniekhaak,4201000090
1087,Loswerktouw 4.20m,4201000090
1088,Loswerktouw 6.80m,4201000090
1093,Halstouw,4201000090
1095,Halsterset Dolci,4201000090
1096,Touwhalster combi Liberty,4201000090
1097,Halster Alaska,4201000090
1101,Halstertouw Color,4201000090
1105,Halstertouw heavy snap,4201000090
1111,Touwhalster basic,4201000090
1112,Halster Kerst,4201000090
1114,Jaarling halster,4201000090
1122,Veulenhalster met bont,4201000090
1123,Halster lijn 2m,4201000090
1125,Halster Deluxe,4201000090
1126,Halster Cali,4201000090
1132,Halsterset Lily,4201000090
1133,Veulenhalster Lily,4201000090
1135,Veiligheidshalster gevoerd,4201000090
1140,Halster extra sterk,4201000090
1141,Touwhalsterset multifunctioneel,4201000090
1142,Halstouw leer,4201000090
1163,Fotografie halster,4201000090
1164,Veulenhalster Flore met frontriem,4201000090
1168,Halster Cali trekpaard,4201000090
1170,Halster Salerno anatomisch,4201000090
1179,Halster Deluxe trekpaard,4201000090
1180,Touwhalster met clip,4201000090
1181,Halstertouw Salerno,4201000090
1194,Veulenhalster Deluxe,4201000090
1195,Touwhalster Color met teugel,4201000090
1201,Touwhalster leer Liberta,4201000090
1202,Halstouw leer Liberta,4201000090
1203,Halstertouw Liberta,4201000090
1204,Halsterset Sensisoft,4201000090
1205,Halstouw verstelbaar Liberta,4201000090
1206,Halster Lyvia,4201000090
1208,Halstertouw met afneembare clip,4201000090
1209,Halsterset met turnout collection,4201000090
1210,Veulenhalster collection,4201000090
1211,Jaarling halster collection,4201000090
1212,Longeerstukje collection,4201000090
1213,Longeerlijn collection,4201000090
1214,Halster Oakleigh,4201000090
1215,Touwhalster Aubree met teugel,4201000090
1216,Halster Rosalynn,4201000090
1217,Halster met voering,4201000090
1218,Halster Lero,4201000090
1219,Halstertouw Lero,4201000090
1220,Optuig halster,4201000090
1221,Veulenhalster leer met clip,4201000090
1222,Halsterset Stable buddy,4201000090
1223,Halsterset met turnout collection,4201000090
1224,Longeerstukje collection,4201000090
1225,Longeerlijn collection,4201000090
1226,Halsterset Isalyn,4201000090
1227,Halsterset Avenna,4201000090
1228,Weide halster met vliegenfrontriem,4201000090
1229,Halster Glitter,4201000090
1230,Halstertouw met afneembare paniekhaak,4201000090
1231,Halster Fjara Icelandic,4201000090
1232,Halsterset met turnout collection,4201000090
1233,Veulenhalster collection,4201000090
1234,Halsterset Krizzy,4201000090
1235,Longeerstukje collection,4201000090
1236,Longeerlijn collection 5 meter,4201000090
1237,Longeerlijn collection 8 meter,4201000090
1238,Touwhalster combi Krizzy,4201000090
1240,Halster basic,4201000090
